Date,MOVE,IEF,TLT
2002-11-13,122.879997,86.129997,88.449997
2002-11-14,130.289993,85.660004,87.650002
2002-11-15,132.350006,84.900002,86.540001
2002-11-18,129.139999,85.129997,87.019997
2002-11-19,126.489998,85.620003,87.949997
2002-11-20,125.870003,85.589996,88.199997
2002-11-21,127.019997,84.57,86.5
2002-11-22,126.269997,84.550003,86.330002
2002-11-25,120.839996,84.5,86
2002-11-26,120.809998,84.540001,86.199997
2002-11-27,128.309998,84.57,86.25
2002-11-29,127.519997,83.970001,85.160004
2002-12-02,127.519997,83,84.360001
2002-12-03,130.639999,83.82,85.699997
2002-12-04,131.059998,83.940002,85.900002
2002-12-05,130.440002,83.639999,85.279999
2002-12-06,128.460007,84.82,87
2002-12-09,122.959999,84.5,86.199997
2002-12-10,115.589996,84.699997,86.610001
2002-12-11,118.330002,84.959999,87.150002
2002-12-12,117.160004,84.900002,87.059998
2002-12-13,116.209999,84.980003,87.139999
2002-12-16,120.330002,84.790001,86.900002
2002-12-17,119.830002,84.650002,86.300003
2002-12-18,118.629997,84.879997,86.480003
2002-12-19,124.07,85.209999,86.800003
2002-12-20,125.25,85.459999,87.230003
2002-12-23,124.779999,85.370003,87.360001
2002-12-24,121.25,85.830002,88
2002-12-26,118.610001,85.800003,87.900002
2002-12-27,123.870003,86.269997,88.550003
2002-12-30,123.720001,86.440002,88.900002
2002-12-31,123.889999,86.269997,88.949997
2003-01-02,130.869995,85.599998,87.699997
2003-01-03,127,84.699997,86.150002
2003-01-06,124.830002,84.800003,86.169998
2003-01-07,117.529999,84.720001,86.190002
2003-01-08,119.419998,85.169998,86.879997
2003-01-09,125.080002,84.580002,86.169998
2003-01-10,120.019997,84.559998,85.919998
2003-01-13,119.790001,84.199997,85.540001
2003-01-14,114.160004,84.599998,86
2003-01-15,115.349998,84.760002,86.279999
2003-01-16,115.150002,84.660004,86.379997
2003-01-17,116.019997,85.150002,87.099998
2003-01-21,114.800003,84.93,86.879997
2003-01-22,109.940002,85.550003,87.68
2003-01-23,107.730003,85.43,87.32
2003-01-24,109.410004,85.800003,87.739998
2003-01-27,117.730003,85.629997,87.900002
2003-01-28,116.889999,85.440002,87.650002
2003-01-29,114.489998,85.529999,87.830002
2003-01-30,115.620003,85,87.199997
2003-01-31,110.889999,85.620003,87.900002
2003-02-03,109.120003,85.25,87.669998
2003-02-04,112.059998,85.389999,88.370003
2003-02-05,122.129997,85.260002,88.230003
2003-02-06,117.220001,85.279999,87.839996
2003-02-07,115.489998,85.089996,87.769997
2003-02-10,114.07,85.400002,88.120003
2003-02-11,112.32,85.160004,87.599998
2003-02-12,113.139999,85.459999,87.800003
2003-02-13,116.339996,85.800003,88.269997
2003-02-14,116,85.809998,88.300003
2003-02-18,115.779999,85.519997,87.559998
2003-02-19,107.129997,85.800003,88.389999
2003-02-20,109.169998,86.019997,88.339996
2003-02-21,104.849998,86.269997,88.559998
2003-02-24,104.050003,86.290001,88.879997
2003-02-25,103.099998,86.559998,89.400002
2003-02-26,114.160004,86.510002,89.379997
2003-02-27,103.800003,86.699997,89.459999
2003-02-28,105.360001,86.75,89.68
2003-03-03,101.760002,86.809998,90
2003-03-04,100.940002,87.019997,90.129997
2003-03-05,103.150002,87.379997,90.620003
2003-03-06,102.839996,87.370003,90.550003
2003-03-07,104.599998,87.720001,90.720001
2003-03-10,105.980003,87.660004,90.809998
2003-03-11,104.279999,87.779999,90.989998
2003-03-12,104.330002,87.669998,90.919998
2003-03-13,110.989998,86.940002,90.150002
2003-03-14,110.349998,86.75,89.900002
2003-03-17,118.370003,87.099998,90.519997
2003-03-18,124.879997,86.25,88.959999
2003-03-19,130.279999,85.650002,88.040001
2003-03-20,125.830002,85.599998,87.82
2003-03-21,124.18,85.129997,86.919998
2003-03-24,119.970001,85.25,87.099998
2003-03-25,116.449997,85.5,87.650002
2003-03-26,116.300003,85.400002,87.25
2003-03-27,115.059998,85.790001,87.75
2003-03-28,114.5,86.029999,87.919998
2003-03-31,112.089996,86.300003,88.300003
2003-04-01,109.660004,86.230003,88.400002
2003-04-02,116.790001,85.599998,87.650002
2003-04-03,115.940002,85.489998,87.25
2003-04-04,114.370003,85.540001,87.059998
2003-04-07,113.480003,84.849998,86.220001
2003-04-08,110.080002,85.379997,87.050003
2003-04-09,105.879997,85.720001,87.400002
2003-04-10,103.57,85.870003,87.75
2003-04-11,103.660004,85.300003,86.82
2003-04-14,102.720001,85.480003,87.099998
2003-04-15,98.57,85.599998,87.330002
2003-04-16,96.029999,85.489998,87.529999
2003-04-17,96.199997,85.949997,88.239998
2003-04-21,95.800003,85.360001,87.480003
2003-04-22,98.57,85.730003,88.150002
2003-04-23,95.790001,85.519997,87.779999
2003-04-24,92.43,85.75,88.400002
2003-04-25,91.660004,86.010002,88.75
2003-04-28,91.059998,86.349998,89.089996
2003-04-29,90.639999,85.839996,88.529999
2003-04-30,89.269997,85.849998,88.790001
2003-05-01,89.669998,86.239998,89.199997
2003-05-02,90.669998,86.040001,89.059998
2003-05-05,88.07,85.660004,88.309998
2003-05-06,84.730003,85.959999,88.839996
2003-05-07,86.370003,86.699997,90
2003-05-08,85.290001,87.300003,90.599998
2003-05-09,82.559998,87.019997,90.300003
2003-05-12,83.209999,87.800003,91.139999
2003-05-13,84.970001,87.370003,90.900002
2003-05-14,88.919998,87.910004,91.830002
2003-05-15,94.389999,87.889999,92.599998
2003-05-16,94.639999,88.400002,93.480003
2003-05-19,97.879997,88.919998,94.110001
2003-05-20,104.389999,88.449997,93.150002
2003-05-21,108.540001,88.839996,94.25
2003-05-22,102.779999,89.080002,95.099998
2003-05-23,99.529999,89.360001,95.769997
2003-05-27,99.610001,89.260002,95.620003
2003-05-28,100.349998,88.669998,93.900002
2003-05-29,99.43,89.120003,94.300003
2003-05-30,99.809998,89.209999,94.449997
2003-06-02,101.650002,88.699997,93.879997
2003-06-03,103,88.970001,93.760002
2003-06-04,105.18,89.489998,94.459999
2003-06-05,108.379997,89.760002,95.199997
2003-06-06,103.349998,88.970001,93.699997
2003-06-09,103.07,89.529999,94.699997
2003-06-10,104,89.900002,95.080002
2003-06-11,104.699997,90.209999,96.25
2003-06-12,101.580002,90.080002,96.110001
2003-06-13,103.18,90.519997,96.93
2003-06-16,101.599998,90.800003,97.5
2003-06-17,105.349998,89.959999,95.970001
2003-06-18,111.459999,89.440002,95.059998
2003-06-19,113.389999,89.139999,93.959999
2003-06-20,110,89.019997,93.900002
2003-06-23,108.449997,89.120003,93.82
2003-06-24,105.660004,89.57,94.150002
2003-06-25,106.089996,90.160004,95.419998
2003-06-26,106.599998,88.860001,93.25
2003-06-27,108.190002,88.470001,92.550003
2003-06-30,103.599998,88.230003,91.919998
2003-07-01,100.559998,88.230003,92.150002
2003-07-02,106.099998,87.529999,91.199997
2003-07-03,107.510002,88.019997,91.699997
2003-07-07,104.879997,87.160004,90.279999
2003-07-08,102,87.379997,90.43
2003-07-09,101.980003,87.330002,90.529999
2003-07-10,103.089996,87.519997,90.690002
2003-07-11,98.870003,87.339996,90.300003
2003-07-14,99.300003,87.669998,90.68
2003-07-15,106.419998,87.160004,89.540001
2003-07-16,109.889999,85.519997,87.410004
2003-07-17,110.059998,85.470001,87.330002
2003-07-18,104.919998,85.82,87.650002
2003-07-21,114.739998,85.440002,87.5
2003-07-22,120.5,84.68,85.970001
2003-07-23,117.199997,85.25,86.800003
2003-07-24,115.120003,84.800003,85.900002
2003-07-25,115.93,84.900002,85.980003
2003-07-28,126.360001,84.449997,85.239998
2003-07-29,141.440002,83.970001,84.18
2003-07-30,146.990005,83.699997,83.739998
2003-07-31,160.860001,83.5,83.690002
2003-08-01,157.220001,82.709999,82.099998
2003-08-04,145.710007,83.089996,82.480003
2003-08-05,144.5,83.550003,83.209999
2003-08-06,144.380005,83.260002,82.5
2003-08-07,129.149994,84.169998,83.800003
2003-08-08,130.960007,84.370003,84.339996
2003-08-11,139.830002,84.050003,83.550003
2003-08-12,131.669998,83.860001,83.419998
2003-08-13,144.75,83.25,82.199997
2003-08-14,147.389999,82.5,81.440002
2003-08-15,140.589996,83.099998,82.199997
2003-08-18,132.009995,83.139999,82.300003
2003-08-19,124.120003,83.080002,82.550003
2003-08-20,128.320007,83.860001,83.830002
2003-08-21,130,83.25,83.059998
2003-08-22,135.089996,82.879997,82.949997
2003-08-25,132.789993,83.099998,83.32
2003-08-26,130.800003,82.540001,82.449997
2003-08-27,127.720001,83.160004,83.269997
2003-08-28,128.729996,83.059998,83.230003
2003-08-29,126.550003,83.510002,83.940002
2003-09-02,135.600006,82.400002,83.629997
2003-09-03,134.089996,82.260002,82.480003
2003-09-04,127.779999,82.599998,82.489998
2003-09-05,124.730003,83.620003,83.400002
2003-09-08,120.089996,83.809998,83.629997
2003-09-09,125.559998,83.760002,83.519997
2003-09-10,118.760002,84.099998,83.900002
2003-09-11,120.410004,84.279999,84.260002
2003-09-12,120.870003,84.699997,85.019997
2003-09-15,119.279999,84.459999,84.5
2003-09-16,118.699997,84.580002,84.370003
2003-09-17,117.82,84.779999,84.720001
2003-09-18,116.889999,85.120003,85.650002
2003-09-19,112.400002,85.050003,85.650002
2003-09-22,115.5,84.660004,85
2003-09-23,115.199997,84.610001,84.879997
2003-09-24,115,84.870003,85.540001
